company_name,ticker,sector,isin,yf_ticker
JK Tyre & Industries Ltd.,JKTYRE,Automobile and Auto Components,INE573A01042,JKTYRE.NS
JM Financial Ltd.,JMFINANCIL,Financial Services,INE780C01023,JMFINANCIL.NS
JSW Cement Ltd.,JSWCEMENT,Construction Materials,INE718I01012,JSWCEMENT.NS
JSW Dulux Ltd.,JSWDULUX,Consumer Durables,INE133A01011,JSWDULUX.NS
JSW Energy Ltd.,JSWENERGY,Power,INE121E01018,JSWENERGY.NS
JSW Infrastructure Ltd.,JSWINFRA,Services,INE880J01026,JSWINFRA.NS
JSW Steel Ltd.,JSWSTEEL,Metals & Mining,INE019A01038,JSWSTEEL.NS
Jain Resource Recycling Ltd.,JAINREC,Metals & Mining,INE0YD401026,JAINREC.NS
Jaiprakash Power Ventures Ltd.,JPPOWER,Power,INE351F01018,JPPOWER.NS
Jammu & Kashmir Bank Ltd.,J&KBANK,Financial Services,INE168A01041,J&KBANK.NS
Jindal Saw Ltd.,JINDALSAW,Capital Goods,INE324A01032,JINDALSAW.NS
Jindal Stainless Ltd.,JSL,Metals & Mining,INE220G01021,JSL.NS
Jindal Steel Ltd.,JINDALSTEL,Metals & Mining,INE749A01030,JINDALSTEL.NS
Jio Financial Services Ltd.,JIOFIN,Financial Services,INE758E01017,JIOFIN.NS
Jubilant Foodworks Ltd.,JUBLFOOD,Consumer Services,INE797F01020,JUBLFOOD.NS
Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals,INE0BY001018,JUBLINGREA.NS
Jubilant Pharmova Ltd.,JUBLPHARMA,Healthcare,INE700A01033,JUBLPHARMA.NS
Jupiter Wagons Ltd.,JWL,Capital Goods,INE209L01016,JWL.NS
Jyoti CNC Automation Ltd.,JYOTICNC,Capital Goods,INE980O01024,JYOTICNC.NS
K.P.R. Mill Ltd.,KPRMILL,Textiles,INE930H01031,KPRMILL.NS
KEI Industries Ltd.,KEI,Capital Goods,INE878B01027,KEI.NS
KPIT Technologies Ltd.,KPITTECH,Information Technology,INE04I401011,KPITTECH.NS
Kajaria Ceramics Ltd.,KAJARIACER,Consumer Durables,INE217B01036,KAJARIACER.NS
Kalpataru Projects International Ltd.,KPIL,Construction,INE220B01022,KPIL.NS
Kalyan Jewellers India Ltd.,KALYANKJIL,Consumer Durables,INE303R01014,KALYANKJIL.NS
Karur Vysya Bank Ltd.,KARURVYSYA,Financial Services,INE036D01028,KARURVYSYA.NS
Kaynes Technology India Ltd.,KAYNES,Capital Goods,INE918Z01012,KAYNES.NS
Kec International Ltd.,KEC,Construction,INE389H01022,KEC.NS
Kfin Technologies Ltd.,KFINTECH,Financial Services,INE138Y01010,KFINTECH.NS
Kirloskar Oil Eng Ltd.,KIRLOSENG,Capital Goods,INE146L01010,KIRLOSENG.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK,Financial Services,INE237A01036,KOTAKBANK.NS
Krishna Institute of Medical Sciences Ltd.,KIMS,Healthcare,INE967H01025,KIMS.NS
L&T Finance Ltd.,LTF,Financial Services,INE498L01015,LTF.NS
L&T Technology Services Ltd.,LTTS,Information Technology,INE010V01017,LTTS.NS
LG Electronics India Ltd.,LGEINDIA,Consumer Durables,INE324D01010,LGEINDIA.NS
LIC Housing Finance Ltd.,LICHSGFIN,Financial Services,INE115A01026,LICHSGFIN.NS
LT Foods Ltd.,LTFOODS,Fast Moving Consumer Goods,INE818H01020,LTFOODS.NS
LTM Ltd.,LTM,Information Technology,INE214T01019,LTM.NS
Larsen & Toubro Ltd.,LT,Construction,INE018A01030,LT.NS
Latent View Analytics Ltd.,LATENTVIEW,Information Technology,INE0I7C01011,LATENTVIEW.NS
Laurus Labs Ltd.,LAURUSLABS,Healthcare,INE947Q01028,LAURUSLABS.NS
Leela Palaces Hotels & Resorts Ltd.,THELEELA,Consumer Services,INE0AQ201015,THELEELA.NS
Lemon Tree Hotels Ltd.,LEMONTREE,Consumer Services,INE970X01018,LEMONTREE.NS
Lenskart Solutions Ltd.,LENSKART,Consumer Services,INE956O01016,LENSKART.NS
Life Insurance Corporation of India,LICI,Financial Services,INE0J1Y01017,LICI.NS
Linde India Ltd.,LINDEINDIA,Chemicals,INE473A01011,LINDEINDIA.NS
Lloyds Metals And Energy Ltd.,LLOYDSME,Metals & Mining,INE281B01032,LLOYDSME.NS
Lodha Developers Ltd.,LODHA,Realty,INE670K01029,LODHA.NS
Lupin Ltd.,LUPIN,Healthcare,INE326A01037,LUPIN.NS
MMTC Ltd.,MMTC,Services,INE123F01029,MMTC.NS
MRF Ltd.,MRF,Automobile and Auto Components,INE883A01011,MRF.NS
Mahanagar Gas Ltd.,MGL,Oil Gas & Consumable Fuels,INE002S01010,MGL.NS
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Financial Services,INE774D01024,M&MFIN.NS
Mahindra & Mahindra Ltd.,M&M,Automobile and Auto Components,INE101A01026,M&M.NS
Manappuram Finance Ltd.,MANAPPURAM,Financial Services,INE522D01027,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd.,MRPL,Oil Gas & Consumable Fuels,INE103A01014,MRPL.NS
Mankind Pharma Ltd.,MANKIND,Healthcare,INE634S01028,MANKIND.NS
Marico Ltd.,MARICO,Fast Moving Consumer Goods,INE196A01026,MARICO.NS
Maruti Suzuki India Ltd.,MARUTI,Automobile and Auto Components,INE585B01010,MARUTI.NS
Max Financial Services Ltd.,MFSL,Financial Services,INE180A01020,MFSL.NS
Max Healthcare Institute Ltd.,MAXHEALTH,Healthcare,INE027H01010,MAXHEALTH.NS
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,Capital Goods,INE249Z01020,MAZDOCK.NS
Meesho Ltd.,MEESHO,Consumer Services,INE0VDM01015,MEESHO.NS
Minda Corporation Ltd.,MINDACORP,Automobile and Auto Components,INE842C01021,MINDACORP.NS
Motherson Sumi Wiring India Ltd.,MSUMI,Automobile and Auto Components,INE0FS801015,MSUMI.NS
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Financial Services,INE338I01027,MOTILALOFS.NS
MphasiS Ltd.,MPHASIS,Information Technology,INE356A01018,MPHASIS.NS
Multi Commodity Exchange of India Ltd.,MCX,Financial Services,INE745G01043,MCX.NS
Muthoot Finance Ltd.,MUTHOOTFIN,Financial Services,INE414G01012,MUTHOOTFIN.NS
NATCO Pharma Ltd.,NATCOPHARM,Healthcare,INE987B01026,NATCOPHARM.NS
NBCC (India) Ltd.,NBCC,Construction,INE095N01031,NBCC.NS
NCC Ltd.,NCC,Construction,INE868B01028,NCC.NS
NHPC Ltd.,NHPC,Power,INE848E01016,NHPC.NS
NLC India Ltd.,NLCINDIA,Power,INE589A01014,NLCINDIA.NS
NMDC Ltd.,NMDC,Metals & Mining,INE584A01023,NMDC.NS
NMDC Steel Ltd.,NSLNISP,Metals & Mining,INE0NNS01018,NSLNISP.NS
NTPC Green Energy Ltd.,NTPCGREEN,Power,INE0ONG01011,NTPCGREEN.NS
NTPC Ltd.,NTPC,Power,INE733E01010,NTPC.NS
Narayana Hrudayalaya Ltd.,NH,Healthcare,INE410P01011,NH.NS
National Aluminium Co. Ltd.,NATIONALUM,Metals & Mining,INE139A01034,NATIONALUM.NS
Nava Ltd.,NAVA,Power,INE725A01030,NAVA.NS
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals,INE048G01026,NAVINFLUOR.NS
Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods,INE239A01024,NESTLEIND.NS
Netweb Technologies India Ltd.,NETWEB,Information Technology,INE0NT901020,NETWEB.NS
Neuland Laboratories Ltd.,NEULANDLAB,Healthcare,INE794A01010,NEULANDLAB.NS
Newgen Software Technologies Ltd.,NEWGEN,Information Technology,INE619B01017,NEWGEN.NS
Nippon Life India Asset Management Ltd.,NAM-INDIA,Financial Services,INE298J01013,NAM-INDIA.NS
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,Financial Services,INE995S01015,NIVABUPA.NS
Nuvama Wealth Management Ltd.,NUVAMA,Financial Services,INE531F01023,NUVAMA.NS
Nuvoco Vistas Corporation Ltd.,NUVOCO,Construction Materials,INE118D01016,NUVOCO.NS
Oberoi Realty Ltd.,OBEROIRLTY,Realty,INE093I01010,OBEROIRLTY.NS
Oil & Natural Gas Corporation Ltd.,ONGC,Oil Gas & Consumable Fuels,INE213A01029,ONGC.NS
Oil India Ltd.,OIL,Oil Gas & Consumable Fuels,INE274J01014,OIL.NS
Ola Electric Mobility Ltd.,OLAELEC,Automobile and Auto Components,INE0LXG01040,OLAELEC.NS
Olectra Greentech Ltd.,OLECTRA,Automobile and Auto Components,INE260D01016,OLECTRA.NS
One 97 Communications Ltd.,PAYTM,Financial Services,INE982J01020,PAYTM.NS
Onesource Specialty Pharma Ltd.,ONESOURCE,Healthcare,INE013P01021,ONESOURCE.NS
Oracle Financial Services Software Ltd.,OFSS,Information Technology,INE881D01027,OFSS.NS
PB Fintech Ltd.,POLICYBZR,Financial Services,INE417T01026,POLICYBZR.NS
PCBL Chemical Ltd.,PCBL,Chemicals,INE602A01031,PCBL.NS
PG Electroplast Ltd.,PGEL,Consumer Durables,INE457L01029,PGEL.NS
PI Industries Ltd.,PIIND,Chemicals,INE603J01030,PIIND.NS
PNB Housing Finance Ltd.,PNBHOUSING,Financial Services,INE572E01012,PNBHOUSING.NS
PTC Industries Ltd.,PTCIL,Capital Goods,INE596F01018,PTCIL.NS
PVR INOX Ltd.,PVRINOX,Media Entertainment & Publication,INE191H01014,PVRINOX.NS
Page Industries Ltd.,PAGEIND,Textiles,INE761H01022,PAGEIND.NS
Paradeep Phosphates Ltd.,PARADEEP,Chemicals,INE088F01024,PARADEEP.NS
Patanjali Foods Ltd.,PATANJALI,Fast Moving Consumer Goods,INE619A01035,PATANJALI.NS
Persistent Systems Ltd.,PERSISTENT,Information Technology,INE262H01021,PERSISTENT.NS
Petronet LNG Ltd.,PETRONET,Oil Gas & Consumable Fuels,INE347G01014,PETRONET.NS
Pfizer Ltd.,PFIZER,Healthcare,INE182A01018,PFIZER.NS
Phoenix Mills Ltd.,PHOENIXLTD,Realty,INE211B01039,PHOENIXLTD.NS
Physicswallah Ltd.,PWL,Consumer Services,INE0LP301011,PWL.NS
Pidilite Industries Ltd.,PIDILITIND,Chemicals,INE318A01026,PIDILITIND.NS
Pine Labs Ltd.,PINELABS,Financial Services,INE15B701018,PINELABS.NS
Piramal Finance Ltd.,PIRAMALFIN,Financial Services,INE202B01038,PIRAMALFIN.NS
Piramal Pharma Ltd.,PPLPHARMA,Healthcare,INE0DK501011,PPLPHARMA.NS
Poly Medicure Ltd.,POLYMED,Healthcare,INE205C01021,POLYMED.NS
Polycab India Ltd.,POLYCAB,Capital Goods,INE455K01017,POLYCAB.NS
Poonawalla Fincorp Ltd.,POONAWALLA,Financial Services,INE511C01022,POONAWALLA.NS
Power Finance Corporation Ltd.,PFC,Financial Services,INE134E01011,PFC.NS
Power Grid Corporation of India Ltd.,POWERGRID,Power,INE752E01010,POWERGRID.NS
Premier Energies Ltd.,PREMIERENE,Capital Goods,INE0BS701011,PREMIERENE.NS
Prestige Estates Projects Ltd.,PRESTIGE,Realty,INE811K01011,PRESTIGE.NS
Prime Focus Ltd.,PFOCUS,Media Entertainment & Publication,INE367G01038,PFOCUS.NS
Punjab National Bank,PNB,Financial Services,INE160A01022,PNB.NS
R R Kabel Ltd.,RRKABEL,Capital Goods,INE777K01022,RRKABEL.NS
RBL Bank Ltd.,RBLBANK,Financial Services,INE976G01028,RBLBANK.NS
REC Ltd.,RECLTD,Financial Services,INE020B01018,RECLTD.NS
RHI MAGNESITA INDIA LTD.,RHIM,Capital Goods,INE743M01012,RHIM.NS
RITES Ltd.,RITES,Construction,INE320J01015,RITES.NS
Radico Khaitan Ltd,RADICO,Fast Moving Consumer Goods,INE944F01028,RADICO.NS
Rail Vikas Nigam Ltd.,RVNL,Construction,INE415G01027,RVNL.NS
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication,INE0DD101019,RAILTEL.NS
Rainbow Childrens Medicare Ltd.,RAINBOW,Healthcare,INE961O01016,RAINBOW.NS
Ramkrishna Forgings Ltd.,RKFORGE,Automobile and Auto Components,INE399G01023,RKFORGE.NS
Redington Ltd.,REDINGTON,Services,INE891D01026,REDINGTON.NS
Reliance Industries Ltd.,RELIANCE,Oil Gas & Consumable Fuels,INE002A01018,RELIANCE.NS
Reliance Power Ltd.,RPOWER,Power,INE614G01033,RPOWER.NS
SBFC Finance Ltd.,SBFC,Financial Services,INE423Y01016,SBFC.NS
SBI Cards and Payment Services Ltd.,SBICARD,Financial Services,INE018E01016,SBICARD.NS
SBI Life Insurance Company Ltd.,SBILIFE,Financial Services,INE123W01016,SBILIFE.NS
SJVN Ltd.,SJVN,Power,INE002L01015,SJVN.NS
SRF Ltd.,SRF,Chemicals,INE647A01010,SRF.NS
Sagility Ltd.,SAGILITY,Information Technology,INE0W2G01015,SAGILITY.NS
Sai Life Sciences Ltd.,SAILIFE,Healthcare,INE570L01029,SAILIFE.NS
Sammaan Capital Ltd.,SAMMAANCAP,Financial Services,INE148I01020,SAMMAANCAP.NS
Samvardhana Motherson International Ltd.,MOTHERSON,Automobile and Auto Components,INE775A01035,MOTHERSON.NS
Sapphire Foods India Ltd.,SAPPHIRE,Consumer Services,INE806T01020,SAPPHIRE.NS
Sarda Energy and Minerals Ltd.,SARDAEN,Metals & Mining,INE385C01021,SARDAEN.NS
Saregama India Ltd,SAREGAMA,Media Entertainment & Publication,INE979A01025,SAREGAMA.NS
Schaeffler India Ltd.,SCHAEFFLER,Automobile and Auto Components,INE513A01022,SCHAEFFLER.NS
Schneider Electric Infrastructure Ltd.,SCHNEIDER,Capital Goods,INE839M01018,SCHNEIDER.NS
Shipping Corporation of India Ltd.,SCI,Services,INE109A01011,SCI.NS
Shree Cement Ltd.,SHREECEM,Construction Materials,INE070A01015,SHREECEM.NS
Shriram Finance Ltd.,SHRIRAMFIN,Financial Services,INE721A01047,SHRIRAMFIN.NS
Shyam Metalics and Energy Ltd.,SHYAMMETL,Capital Goods,INE810G01011,SHYAMMETL.NS
Siemens Energy India Ltd.,ENRIN,Capital Goods,INE1NPP01017,ENRIN.NS
Siemens Ltd.,SIEMENS,Capital Goods,INE003A01024,SIEMENS.NS
Signatureglobal (India) Ltd.,SIGNATURE,Realty,INE903U01023,SIGNATURE.NS
Sobha Ltd.,SOBHA,Realty,INE671H01015,SOBHA.NS
Solar Industries India Ltd.,SOLARINDS,Chemicals,INE343H01029,SOLARINDS.NS
Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile and Auto Components,INE073K01018,SONACOMS.NS
Sonata Software Ltd.,SONATSOFTW,Information Technology,INE269A01021,SONATSOFTW.NS
Star Health and Allied Insurance Company Ltd.,STARHEALTH,Financial Services,INE575P01011,STARHEALTH.NS
State Bank of India,SBIN,Financial Services,INE062A01020,SBIN.NS
Steel Authority of India Ltd.,SAIL,Metals & Mining,INE114A01011,SAIL.NS
Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals,INE258G01013,SUMICHEM.NS
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare,INE044A01036,SUNPHARMA.NS
Sun TV Network Ltd.,SUNTV,Media Entertainment & Publication,INE424H01027,SUNTV.NS
Sundaram Finance Ltd.,SUNDARMFIN,Financial Services,INE660A01013,SUNDARMFIN.NS
Supreme Industries Ltd.,SUPREMEIND,Capital Goods,INE195A01028,SUPREMEIND.NS
Supreme Petrochem Ltd.,SPLPETRO,Chemicals,INE663A01033,SPLPETRO.NS
Suzlon Energy Ltd.,SUZLON,Capital Goods,INE040H01021,SUZLON.NS
Swan Corp Ltd.,SWANCORP,Chemicals,INE665A01038,SWANCORP.NS
Swiggy Ltd.,SWIGGY,Consumer Services,INE00H001014,SWIGGY.NS
Syngene International Ltd.,SYNGENE,Healthcare,INE398R01022,SYNGENE.NS
Syrma SGS Technology Ltd.,SYRMA,Capital Goods,INE0DYJ01015,SYRMA.NS
TBO Tek Ltd.,TBOTEK,Consumer Services,INE673O01025,TBOTEK.NS
TVS Motor Company Ltd.,TVSMOTOR,Automobile and Auto Components,INE494B01023,TVSMOTOR.NS
Tata Capital Ltd.,TATACAP,Financial Services,INE976I01016,TATACAP.NS
Tata Chemicals Ltd.,TATACHEM,Chemicals,INE092A01019,TATACHEM.NS
Tata Communications Ltd.,TATACOMM,Telecommunication,INE151A01013,TATACOMM.NS
Tata Consultancy Services Ltd.,TCS,Information Technology,INE467B01029,TCS.NS
Tata Consumer Products Ltd.,TATACONSUM,Fast Moving Consumer Goods,INE192A01025,TATACONSUM.NS
Tata Elxsi Ltd.,TATAELXSI,Information Technology,INE670A01012,TATAELXSI.NS
Tata Investment Corporation Ltd.,TATAINVEST,Financial Services,INE672A01026,TATAINVEST.NS
Tata Motors Ltd.,TMCV,Capital Goods,INE1TAE01010,TMCV.NS
Tata Motors Passenger Vehicles Ltd.,TMPV,Automobile and Auto Components,INE155A01022,TMPV.NS
Tata Power Co. Ltd.,TATAPOWER,Power,INE245A01021,TATAPOWER.NS
Tata Steel Ltd.,TATASTEEL,Metals & Mining,INE081A01020,TATASTEEL.NS
Tata Technologies Ltd.,TATATECH,Information Technology,INE142M01025,TATATECH.NS
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication,INE517B01013,TTML.NS
Tech Mahindra Ltd.,TECHM,Information Technology,INE669C01036,TECHM.NS
Techno Electric & Engineering Company Ltd.,TECHNOE,Construction,INE285K01026,TECHNOE.NS
Tega Industries Ltd.,TEGA,Capital Goods,INE011K01018,TEGA.NS
Tejas Networks Ltd.,TEJASNET,Telecommunication,INE010J01012,TEJASNET.NS
Tenneco Clean Air India Ltd.,TENNIND,Automobile and Auto Components,INE19RI01016,TENNIND.NS
The New India Assurance Company Ltd.,NIACL,Financial Services,INE470Y01017,NIACL.NS
The Ramco Cements Ltd.,RAMCOCEM,Construction Materials,INE331A01037,RAMCOCEM.NS
Thermax Ltd.,THERMAX,Capital Goods,INE152A01029,THERMAX.NS
Timken India Ltd.,TIMKEN,Capital Goods,INE325A01013,TIMKEN.NS
Titagarh Rail Systems Ltd.,TITAGARH,Capital Goods,INE615H01020,TITAGARH.NS
Titan Company Ltd.,TITAN,Consumer Durables,INE280A01028,TITAN.NS
Torrent Pharmaceuticals Ltd.,TORNTPHARM,Healthcare,INE685A01028,TORNTPHARM.NS
Torrent Power Ltd.,TORNTPOWER,Power,INE813H01021,TORNTPOWER.NS
Transformers And Rectifiers (India) Ltd.,TARIL,Capital Goods,INE763I01026,TARIL.NS
Travel Food Services Ltd.,TRAVELFOOD,Consumer Services,INE103V01028,TRAVELFOOD.NS
Trent Ltd.,TRENT,Consumer Services,INE849A01020,TRENT.NS
Trident Ltd.,TRIDENT,Textiles,INE064C01022,TRIDENT.NS
Triveni Turbine Ltd.,TRITURBINE,Capital Goods,INE152M01016,TRITURBINE.NS
Tube Investments of India Ltd.,TIINDIA,Automobile and Auto Components,INE974X01010,TIINDIA.NS
UCO Bank,UCOBANK,Financial Services,INE691A01018,UCOBANK.NS
UNO Minda Ltd.,UNOMINDA,Automobile and Auto Components,INE405E01023,UNOMINDA.NS
UPL Ltd.,UPL,Chemicals,INE628A01036,UPL.NS
UTI Asset Management Company Ltd.,UTIAMC,Financial Services,INE094J01016,UTIAMC.NS
UltraTech Cement Ltd.,ULTRACEMCO,Construction Materials,INE481G01011,ULTRACEMCO.NS
Union Bank of India,UNIONBANK,Financial Services,INE692A01016,UNIONBANK.NS
United Breweries Ltd.,UBL,Fast Moving Consumer Goods,INE686F01025,UBL.NS
United Spirits Ltd.,UNITDSPR,Fast Moving Consumer Goods,INE854D01024,UNITDSPR.NS
Urban Company Ltd.,URBANCO,Consumer Services,INE0CAZ01013,URBANCO.NS
Usha Martin Ltd.,USHAMART,Capital Goods,INE228A01035,USHAMART.NS
Vardhman Textiles Ltd.,VTL,Textiles,INE825A01020,VTL.NS
Varun Beverages Ltd.,VBL,Fast Moving Consumer Goods,INE200M01039,VBL.NS
Vedanta Ltd.,VEDL,Metals & Mining,INE205A01025,VEDL.NS
Vijaya Diagnostic Centre Ltd.,VIJAYA,Healthcare,INE043W01024,VIJAYA.NS
Vishal Mega Mart Ltd.,VMM,Consumer Services,INE01EA01019,VMM.NS
Vodafone Idea Ltd.,IDEA,Telecommunication,INE669E01016,IDEA.NS
Voltas Ltd.,VOLTAS,Consumer Durables,INE226A01021,VOLTAS.NS
